collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
13307	J. Hunter	CC BY	Aves	Avetheropoda		n. gen.	Lectavis	n. sp.	bretincola					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda		n. gen.	Enantiornis	n. sp.	leali					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda			Martinavis	n. sp.	whetstonei					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13307	J. Hunter	CC BY	Aves	Avetheropoda		n. gen.	Soroavisaurus	n. sp.	australis					55175	-26.066667	-65.366667	-28.62	-52.05	70.60000	66.00000	68.3
13309	J. Hunter	CC BY	Aves	Avetheropoda		n. gen.	Neogaeornis	n. sp.	wetzeli					6052	-36.716667	-73.116667	-38.63	-60.88	72.10000	66.00000	69.05
13312	J. Hunter		Aves	Alexornithiformes	Alexornithidae	n. gen.	Alexornis	n. sp.	antecedens					6054	30.050000	-115.733333	35.46	-85.81	83.60000	72.10000	77.85
13313	J. Hunter	CC BY	Aves	Avetheropoda	Casuariidae		Emuarius	n. sp.	gidju		Dromaius	n. sp.	gidju	4424	-27.75	140.733333	-40.43	137.07	28.40000	15.97000	22.185
13314	J. Hunter		Aves	Avetheropoda	Casuariidae		Dromaius		sp.					6055	-17.116667	131.522222	-26.09	128.23	15.97000	11.60800	13.789
13314	J. Hunter		Aves	Dromornithiformes	Dromornithidae		Bullockornis		planei					6055	-17.116667	131.522222	-26.09	128.23	15.97000	11.60800	13.789
13315	J. Hunter		Aves	Avetheropoda	Casuariidae		Dromaius		sp.					6056	-23.7	133.883333	-29.32	132.03	11.60800	5.33300	8.4705
13316	J. Hunter		Aves	Avetheropoda	Casuariidae		Dromaius		ocypus					6057	-27.75	140.733333	-30.55	140.00	5.33300	2.58800	3.9605
13316	J. Hunter		Aves	Avetheropoda	Casuariidae		Dromaius	cf.	ocypus					6057	-27.75	140.733333	-30.55	140.00	5.33300	2.58800	3.9605
13317	J. Hunter		Aves	Avetheropoda	Casuariidae		Dromaius		novaehollandiae					6058	-27.75	140.733333	-29.15	140.37	3.60000	0.78100	2.1905
13317	J. Hunter		Aves	Avetheropoda	Casuariidae		Dromaius		sp.					6058	-27.75	140.733333	-29.15	140.37	3.60000	0.78100	2.1905
13318	J. Hunter	CC BY	Aves	Avetheropoda	Casuariidae		Dromaius		novaehollandiae					6059	-26.75	150.633333	-28.78	150.27	5.33300	0.12600	2.7295
13319	J. Hunter	CC BY	Aves	Avetheropoda	Casuariidae		Dromaius		sp.					6060	-27.75	140.733333	-29.85	140.18	5.33300	0.00000	2.6665
13320	J. Hunter		Aves	Avetheropoda			Lithornis		vulturinus					6040	51.250000	0.750000	46.71	-1.72	55.80000	48.60000	52.2
13321	J. Hunter		Aves	Lithornithiformes	Lithornithidae		Paracathartes		howardae					6045	43.025000	-108.379444	47.64	-92.10	55.80000	48.60000	52.2
13322	J. Hunter		Aves	Avetheropoda			Eocathartes		robustus					11714	51.321944	11.953611	48.34	7.71	47.80000	41.30000	44.55
13322	J. Hunter		Aves	Avetheropoda	Palaeotididae		Palaeotis	n. sp.	weigelti					11714	51.321944	11.953611	48.34	7.71	47.80000	41.30000	44.55
13323	J. Hunter		Aves	Avetheropoda	Bathornithidae		Neocathartes		grallator					6042	43.025000	-108.379444	44.67	-99.72	37.20000	33.90000	35.55
13324	J. Hunter		Aves	Avetheropoda	Vulturidae		Diatropornis		ellioti					6043	44.383333	1.433333	43.39	-2.03	37.20000	28.40000	32.8
13325	J. Hunter		Aves	Avetheropoda	Vulturidae		Plesiocathartes		europaeus					6044	44.383333	1.433333	43.39	-2.03	37.20000	28.40000	32.8
13335	M. Carrano	CC BY	Aves	Avetheropoda		n. gen.	Palaeocursornis	n. sp.	biharicus					53422	46.950000	22.400000	28.05	27.83	145.00000	139.80000	142.4
13408	M. Uhen		Aves	Avetheropoda	Procellariidae		Calonectris		sp.					17218	38.463889	-76.471111	38.64	-73.60	13.82000	11.62000	12.72
13451	M. Uhen		Aves	Avetheropoda	Gaviidae		Gavia	cf.	concinna					6029	35.1667	-120.7333	34.99	-119.78	3.60000	2.58800	3.094
13503	J. Alroy	CC BY	Aves	Avetheropoda	Phorusrhacidae		Mesembriornis		milneedwardsi					6117	-38	-61	-38.09	-59.57	6.80000	4.00000	5.4
13503	J. Alroy	CC BY	Aves	Avetheropoda	Phorusrhacidae	n. gen.	Dryornis	n. sp.	pampeanus					6117	-38	-61	-38.09	-59.57	6.80000	4.00000	5.4
13503	J. Alroy	CC BY	Aves	Avetheropoda	Tinamidae		Tinamisornis		intermedius					6117	-38	-61	-38.09	-59.57	6.80000	4.00000	5.4
13503	J. Alroy	CC BY	Aves	Avetheropoda	Rheidae	n. gen.	Protorhea	n. sp.	azarae					6117	-38	-61	-38.09	-59.57	6.80000	4.00000	5.4
13503	J. Alroy	CC BY	Aves	Avetheropoda	Falconidae	n. gen.	Foetopterus	n. sp.	ambiguus					6117	-38	-61	-38.09	-59.57	6.80000	4.00000	5.4
13503	J. Alroy	CC BY	Aves	Avetheropoda	Phorusrhacidae		Palaeociconia		australis					6117	-38	-61	-38.09	-59.57	6.80000	4.00000	5.4
13503	J. Alroy	CC BY	Aves	Avetheropoda	Tinamidae		Tinamisornis		parvulus					6117	-38	-61	-38.09	-59.57	6.80000	4.00000	5.4
13776	M. Carrano	CC BY	Aves	Avetheropoda		n. gen.	Gobipteryx	n. sp.	minuta					9899	43.487500	101.125000	40.71	90.66	83.60000	72.10000	77.85
13937	W. Clyde	CC BY	Aves	Avetheropoda		n. gen.	Grabauornis	n. sp.	lingyuanensis					6171	41.366667	121.416667	44.01	123.46	129.40000	125.00000	127.2
13937	W. Clyde	CC BY	Aves	Avetheropoda	Hongshanornithidae		Hongshanornis		longicresta					6171	41.366667	121.416667	44.01	123.46	129.40000	125.00000	127.2
13937	W. Clyde	CC BY	Aves	Avetheropoda	Hongshanornithidae	n. gen.	Longicrusavis	n. sp.	houi					6171	41.366667	121.416667	44.01	123.46	129.40000	125.00000	127.2
13937	W. Clyde	CC BY	Aves	Avetheropoda		n. gen.	Liaoxiornis	n. sp.	delicatus					6171	41.366667	121.416667	44.01	123.46	129.40000	125.00000	127.2
13937	W. Clyde	CC BY	Aves	Avetheropoda		n. gen.	Dalingheornis	n. sp.	liweii					6171	41.366667	121.416667	44.01	123.46	129.40000	125.00000	127.2
13937	W. Clyde	CC BY	Aves	Avetheropoda		n. gen.	Liaoxiornis	n. sp.	delicatus	n. gen.	Lingyuanornis	n. sp.	parvus	6171	41.366667	121.416667	44.01	123.46	129.40000	125.00000	127.2
14211	J. Alroy	CC BY	Aves	Avetheropoda	Brontornithidae		Physornis		sp.					6192	-45.234444	-67.505556	-46.39	-60.05	29.00000	21.00000	25
14515	J. Alroy	CC BY	Aves	Avetheropoda		n. gen.	Avisaurus	n. sp.	archibaldi					3198	47.6	-107	54.37	-80.08	70.60000	66.00000	68.3
14517	J. Alroy	CC BY	Aves	Avetheropoda	Cimolopterygidae		Cimolopteryx		maxima					962	47.8	-106.1	54.38	-78.99	70.60000	66.00000	68.3
14519	J. Alroy	CC BY	Aves	Avetheropoda			Lonchodytes		pterygius					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY	Aves	Avetheropoda	Cimolopterygidae		Lamarqueavis	n. sp.	petra		Cimolopteryx	n. sp.	petra	1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14519	J. Alroy	CC BY	Aves	Avetheropoda	Cimolopterygidae		Cimolopteryx	n. sp.	maxima					1239	43.15	-104.5667	49.62	-79.42	70.60000	66.00000	68.3
14558	J. Alroy	CC BY	Aves	Avetheropoda	Cimolopterygidae		Cimolopteryx		sp.					39999	49.3	-108.4	56.27	-80.77	70.60000	66.00000	68.3
