collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
20650	J. Alroy	CC BY			Urodela		Plethodon		glutinosus					3567	29.4	-82.6	29.42	-82.39	0.12600	0.01170	0.06885
20650	J. Alroy	CC BY		Salientia	Microhylidae		Gastrophryne		carolinensis		Microhyla		carolinensis	3567	29.4	-82.6	29.42	-82.39	0.12600	0.01170	0.06885
20650	J. Alroy	CC BY		Salientia	Pelobatidae		Scaphiopus		holbrooki		Scaphiopus		holbrooki	3567	29.4	-82.6	29.42	-82.39	0.12600	0.01170	0.06885
20650	J. Alroy	CC BY		Salientia	Hylidae		Hyla		femoralis					3567	29.4	-82.6	29.42	-82.39	0.12600	0.01170	0.06885
21856	A. Behrensmeyer			Salientia	Bufonidae		Bufo		mauritanicus					5211	35.7500	5.9167	35.73	5.88	2.58800	0.00000	1.294
22489	A. Behrensmeyer			Salientia	Bufonidae		Bufo		spinosus					5619	34.4356	-6.814	34.43	-6.85	2.58800	0.01170	1.29985
22489	A. Behrensmeyer			Salientia	Ranidae		Rana		ridibunda					5619	34.4356	-6.814	34.43	-6.85	2.58800	0.01170	1.29985
22489	A. Behrensmeyer			Salientia	Discoglossidae		Discoglossus	cf.	pictus					5619	34.4356	-6.814	34.43	-6.85	2.58800	0.01170	1.29985
22489	A. Behrensmeyer			Salientia	Bufonidae		Bufo		maritanicus					5619	34.4356	-6.814	34.43	-6.85	2.58800	0.01170	1.29985
22593	A. Behrensmeyer			Salientia	Pipidae		Xenopus		sp.					4948	-2.9806	35.3736	-3.08	35.17	2.58800	1.80600	2.197
22628	A. Behrensmeyer			Salientia	Pipidae		Xenopus		sp.					5653	-2.9861	35.3444	-3.09	35.14	2.58800	0.78100	1.6845
22634	A. Behrensmeyer			Salientia		n. gen.	Thoraciliacus	n. sp.	rostriceps					13344	30.538889	34.726667	6.80	29.78	145.00000	113.00000	129
22634	A. Behrensmeyer			Salientia		n. gen.	Cordicephalus	n. sp.	gracilis					13344	30.538889	34.726667	6.80	29.78	145.00000	113.00000	129
22634	A. Behrensmeyer			Salientia			Cordicephalus	n. sp.	gracilis		Cordicephalus	n. sp.	longicostatus	13344	30.538889	34.726667	6.80	29.78	145.00000	113.00000	129
22634	A. Behrensmeyer					n. gen.	Ramonellus	n. sp.	longispinus					13344	30.538889	34.726667	6.80	29.78	145.00000	113.00000	129
22635	A. Behrensmeyer	CC BY			Archeriidae		Archeria		crassidica					5743	33.3400	-98.39	0.53	-28.82	296.40000	268.00000	282.2
22645	A. Behrensmeyer	CC BY				n. gen.	Hylaeobatrachus	n. sp.	croyii					52560	50.466667	3.633333	40.68	13.68	129.40000	122.46000	125.93
22684	A. Behrensmeyer	CC BY				n. gen.	Hemiprichisaurus	n. sp.	keuperinus					53337	51.897500	11.073611	39.70	10.48	208.50000	201.30000	204.9
22695	A. Behrensmeyer				Batrachosauroididae		Opisthotriton		kayi					5929	50.754801	-111.398721	58.05	-75.94	83.50000	70.60000	77.05
22695	A. Behrensmeyer				Urodela		Scapherpeton		tectum					5929	50.754801	-111.398721	58.05	-75.94	83.50000	70.60000	77.05
22696	A. Behrensmeyer				Batrachosauroididae		Opisthotriton		kayi					5929	50.7813031	-111.32555	58.05	-75.84	83.50000	70.60000	77.05
22696	A. Behrensmeyer				Urodela		Scapherpeton		tectum					5929	50.7813031	-111.32555	58.05	-75.84	83.50000	70.60000	77.05
22697	A. Behrensmeyer				Urodela		Scapherpeton		tectum					16643	50.809347	-111.631664	58.15	-76.16	83.50000	70.60000	77.05
22697	A. Behrensmeyer				Batrachosauroididae		Opisthotriton		kayi					16643	50.809347	-111.631664	58.15	-76.16	83.50000	70.60000	77.05
22698	A. Behrensmeyer				Urodela		Scapherpeton		tectum					5929	50.74994	-111.514913	58.07	-76.07	83.50000	70.60000	77.05
22698	A. Behrensmeyer				Batrachosauroididae		Opisthotriton		kayi					5929	50.74994	-111.514913	58.07	-76.07	83.50000	70.60000	77.05
22714	A. Behrensmeyer				Keraterpetontidae		Diplocaulus		sp.					5693	34.1260	-98.6216	0.33	-29.08	290.10000	279.30000	284.7
22714	A. Behrensmeyer				Archeriidae		Archeria		sp.					5693	34.1260	-98.6216	0.33	-29.08	290.10000	279.30000	284.7
22716	A. Behrensmeyer				Keraterpetontidae		Diplocaulus		sp.					5665	32.9424	-99.7713	1.80	-29.52	279.30000	272.30000	275.8
22725	A. Behrensmeyer				Ophiderpetontidae		Ophiderpeton	n. sp.	kirktonense					4596	55.9500	-3.2	-1.96	2.55	336.00000	326.40000	331.2
22726	A. Behrensmeyer						Spathicephalus		mirus					5931	56.1166	-3.35	0.88	5.07	326.40000	318.10000	322.25
22726	A. Behrensmeyer				Eoherpetontidae		Eoherpeton		watsoni					5931	56.1166	-3.35	0.88	5.07	326.40000	318.10000	322.25
23549	J. Alroy	CC BY			Urodela	n. gen.	Nezpercius	n. sp.	dodsoni					6734	47.733333	-108.95	54.66	-75.10	83.50000	70.60000	77.05
23551	J. Alroy	CC BY			Urodela		Nezpercius		dodsoni					6734	47.716667	-108.9	54.63	-75.06	83.50000	70.60000	77.05
24563	A. Rees				Albanerpetontidae		Celtedens		sp.		Celtedens		megacephalus	6907	39.7	-8.8	33.73	1.88	157.30000	152.10000	154.7
27133	J. Alroy	CC BY			Brachystelechidae	n. gen.	Carrolla	n. sp.	craddocki					7510	33.740278	-98.901944	0.12	-29.48	290.10000	279.30000	284.7
27407	J. Alroy	CC BY			Gymnarthridae	?	Cymatorhiza		kittsi					4327	35.986111	-98.315833	4.53	-26.80	272.30000	265.10000	268.7
27418	J. Alroy	CC BY			Urodela		Andrias		matthewi					7566	42.066667	-103.083333	42.79	-99.21	20.43000	15.97000	18.2
27481	J. Alroy	CC BY			Urodela		Ambystoma		minshalli					733	40.528	-98.9606	41.06	-95.73	15.97000	13.60000	14.785
27481	J. Alroy	CC BY		Salientia	Ranidae		Rana		sp.					733	40.528	-98.9606	41.06	-95.73	15.97000	13.60000	14.785
27507	J. Alroy	CC BY			Urodela	cf.	Ambystoma		priscum					7572	42.600000	-97.65	43.11	-94.35	15.97000	13.60000	14.785
27507	J. Alroy	CC BY			Urodela		Ambystoma		sp.					7572	42.600000	-97.65	43.11	-94.35	15.97000	13.60000	14.785
27507	J. Alroy	CC BY		Salientia	Hylidae		Pseudacris		sp.					7572	42.600000	-97.65	43.11	-94.35	15.97000	13.60000	14.785
27507	J. Alroy	CC BY			Urodela		Ambystoma		minshalli					7572	42.600000	-97.65	43.11	-94.35	15.97000	13.60000	14.785
27507	J. Alroy	CC BY		Salientia	Ranidae		Rana		sp.					7572	42.600000	-97.65	43.11	-94.35	15.97000	13.60000	14.785
27572	J. Alroy	CC BY			Urodela		Ambystoma		tigrinum					777	42.609444	-97.876389	42.72	-97.21	4.90000	1.80000	3.35
27572	J. Alroy	CC BY		Salientia	Ranidae		Rana		sp.					777	42.609444	-97.876389	42.72	-97.21	4.90000	1.80000	3.35
27572	J. Alroy	CC BY		Salientia	Ranidae		Rana		catesbeiana					777	42.609444	-97.876389	42.72	-97.21	4.90000	1.80000	3.35
27572	J. Alroy	CC BY		Salientia	Ranidae		Rana		sylvatica					777	42.609444	-97.876389	42.72	-97.21	4.90000	1.80000	3.35
27572	J. Alroy	CC BY		Salientia	Bufonidae		Bufo		cognatus					777	42.609444	-97.876389	42.72	-97.21	4.90000	1.80000	3.35
27572	J. Alroy	CC BY			Urodela		Ambystoma		maculatum					777	42.609444	-97.876389	42.72	-97.21	4.90000	1.80000	3.35
27572	J. Alroy	CC BY		Salientia	Bufonidae		Bufo		repentinus					777	42.609444	-97.876389	42.72	-97.21	4.90000	1.80000	3.35
27574	J. Alroy	CC BY			Gymnarthridae	n. gen.	Cymatorhiza	n. sp.	kittsi					7597	35.911111	-98.154444	4.41	-26.72	272.30000	265.10000	268.7
27604	J. Alroy	CC BY			Prosirenidae		Prosiren		elinorae					7600	32.003333	-98.253333	29.63	-58.23	113.00000	100.50000	106.75
