Name_sp	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp
Aspidoscelis septemvittata	1395.97619047619	591	2141	27.6461911847335	22.7171288468679	30.5501455344309	183.571428571429	146	218
Asthenodipsas vertebralis	942.5	704	1181	3.56667	3.41667	3.71667	199.5	198	201
Astrotia stokesii	16.25	9	20	-13.8690860596654	-27.533	1.33	260.285714285714	201	274
Atheris ceratophora	1666.22222222222	1219	1954	-6.82037	-8.6	-4.75	173.222222222222	153	193
Atheris chlorechis	252.875	39	404	6.6621975	5.5	8.032	254	245	261
Atractaspis dahomeyensis	200.5	85	316	8.089585	6.1	10.07917	268.5	265	272
Atractaspis engaddensis	174.454545454545	-342	1754	30.6135227272727	21.31667	32.48438	217.909090909091	188	242
Atractaspis irregularis	974.041666666667	8	2276	0.677239166666667	-4.53333	7.26667	224.041666666667	158	271
Atractaspis microlepidota	5	5	5	14.74583	14.74583	14.74583	248	248	248
Atractus biseriatus	2146	2146	2146	5.04896	5.04896	5.04896	161	161	161
Atractus crassicaudatus	2627.52380952381	1494	3493	4.87227428571429	4.15969	5.75	134.47619047619	69	219
Atractus major	696.9	197	2749	-4.10225070547171	-12.58333	0.0847	229.6	140	255
Atractus nicefori	1996	1938	2054	5.77041	5.75	5.79082	177	173	181
Atractus snethlageae	15	15	15	-2.8275	-2.8275	-2.8275	274	274	274
Atretium schistosum	170	170	170	7.92354	7.92354	7.92354	267	267	267
Atropoides nummifer	980.666666666667	646	1573	19.3451645599352	17.7173774164579	21.397468419834	210.333333333333	169	237
Australolacerta australis	1286	1286	1286	-32.33333	-32.33333	-32.33333	130	130	130
Bachia flavescens	150.666666666667	30	283	2.00351666666667	-3.11333	5.20444	260.666666666667	239	274
Bachia trisanale	251	251	251	-0.4	-0.4	-0.4	249	249	249
Barisia imbricata	2691.24299065421	1038	5070	20.2121486238931	17.801	24.36667	128.196261682243	21	229
Barisia levicollis	2172	2172	2172	29.61058	29.61058	29.61058	123	123	123
Basiliscus plumifrons	98.1081081081081	13	543	10.4486832086517	9.5667	13	258.864864864865	247	263
Bassiana trilineatus	121.213333333333	-1	605	-33.3283160251046	-35.11667	-31.2	166.154811715481	140	187
Bavayia cyclura	347.083333333333	-2	949	-21.3743682	-22.3014	-19.71416	215.62	180	235
Bavayia exsuccida	115	60	170	-20.97541	-21.14444	-20.80638	229.5	229	230
Bavayia goroensis	355	355	355	-22.22952	-22.22952	-22.22952	211	211	211
Bavayia montana	661.352941176471	162	1104	-20.9641070588235	-21.62704	-20.39667	201.882352941176	183	215
Bavayia robusta	296	211	403	-22.2376616666667	-22.32277	-22.1	217.833333333333	209	230
Bavayia sauvagii	424.492537313433	6	1381	-21.5704401449275	-22.35	-20.55972	211.811594202899	180	231
Bavayia septuiclavis	274.318181818182	47	624	-22.2274438636364	-22.32443	-22.08	214.772727272727	200	223
Bipes biporus	76.7575757575758	6	283	25.6248349209375	22.8799999993235	28.2829616491582	222.588235294118	207	238
Bipes canaliculatus	237	10	493	18.1856262803387	17.91667	18.4445	276	272	282
Bitis atropos	944.25	105	2144	-27.8640141666667	-33.96667	-19.82617	170	137	206
Blaesodactylus antongilensis	500.333333333333	397	575	-15.31926	-15.43929	-15.2273	221	218	223
Blaesodactylus boivini	160	160	160	-12.95577	-12.95577	-12.95577	258	258	258
Blaesodactylus sakalava	124.8	52	218	-17.599452	-20.0598	-16.227	261.6	259	266
Blanus cinereus	557.925632911392	0	2826	38.4169653375196	36.01	41.95	151.389324960754	38	186
Blanus strauchi	392	48	670	37.2070366666667	36.65	37.69414	163.666666666667	149	179
Blanus tingitanus	154.8	19	333	35.387724	34.25	35.9	174.4	167	179
Bogertophis rosaliae	253.45	10	718	25.6177936606607	23.7084460512255	27.410222295553	219.9	205	240
Bogertophis subocularis	1101.31683168317	330	2036	30.3482043872888	25.1836802904958	33.29	179.608910891089	149	215
Boiga cynodon	199.235294117647	1	716	6.75748647058824	1.65	15.31311	260.647058823529	234	275
Boiga drapiezii	528.5	91	966	1.558335	1.11667	2	245.5	233	258
Boiga kraepelini	976	24	2322	22.4967633333333	21.84623	23.63978	190.666666666667	131	247
Boiga trigonata	631.5	505	758	31.11098	30.83047	31.39149	211.5	205	218
Bothriechis aurifer	1486	1486	1486	15.33	15.33	15.33	171	171	171
Bothrochilus boa	181.666666666667	7	913	-4.63278423494189	-5.61416	-2.57	253.583333333333	214	268
Bothrops jararacussu	396.4375	22	887	-23.816151875	-25.87879	-20.5	205.875	166	231
Brachymeles bonitae	236.333333333333	2	972	13.1109205555556	12.31444	13.4	252.388888888889	193	275
Brachymeles cebuensis	281.5	202	361	10.223055	10.12444	10.32167	263	260	266
Brachymeles gracilis	471	19	1784	7.86446	6.51834	10.75	251.714285714286	210	269
Brachymeles talinis	593.185185185185	2	1214	9.72061	9.12904	12.58333	246.259259259259	218	275
Brachymeles tridactylus	613.925925925926	22	1698	10.4272607142857	9.55873	11.8718	241.892857142857	178	275
Bradypodion dracomontanum	2002.75	1796	2312	-28.783335	-29.06667	-28.55	132.75	118	144
Bradypodion setaroi	29	11	58	-28.11	-28.43333	-27.66667	216.8	215	221
Bradypodion transvaalense	1398.59090909091	865	2083	-24.8585463636364	-26.15	-23.8	163.636363636364	132	191
Bradypodion ventrale	156.454545454545	32	545	-33.8294727272727	-33.98216	-33.3	174.454545454545	165	181
Bronchocela jubata	315.066666666667	2	1029	-7.19734427516261	-8.56676	-6.15	250.466666666667	206	276
Brookesia brygooi	130	130	130	-16.338	-16.338	-16.338	266	266	266
Brookesia griveaudi	370.5	247	494	-14.71307	-14.96603	-14.46011	229.5	221	238
