collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
12852	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		lamandini					8517	44.366667	1.733333	42.93	-1.94	38	33.9	35.95
12852	E. Fara		Reptilia	Squamata	Anguidae		Placosaurus		sp.					8517	44.366667	1.733333	42.93	-1.94	38	33.9	35.95
12853	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		sp.					12522	44.35	1.731667	42.91	-1.94	38	33.9	35.95
12854	E. Fara		Reptilia	Squamata	Cordylidae		Pseudolacerta		sp.					12515	44.35	1.733333	42.91	-1.93	38	33.9	35.95
12854	E. Fara		Reptilia	Squamata	Necrosauridae		Necrosaurus		sp.					12515	44.35	1.733333	42.91	-1.93	38	33.9	35.95
12968	J. Alroy	CC BY	Reptilia	Squamata	Agamidae	cf.	Uromastyx		sp.					24326	29.45	30.583333	26.08	27.32	33.9	28.1	31
13066	M. Uhen	CC BY	Reptilia	Squamata	Iguanidae		Sceloporus		undulatus					10272	34.2	-84.8	34.23	-84.59	2.588	0.0117	1.29985
13066	M. Uhen	CC BY	Reptilia	Squamata	Polychrotidae		Anolis		carolinensis					10272	34.2	-84.8	34.23	-84.59	2.588	0.0117	1.29985
13142	E. Fara	CC BY	Reptilia	Squamata	Chamopsiidae		Haptosphenus		placodon					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata			Parasaniwa		wyomingensis					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata	Chamopsiidae	n. gen.	Peneteius	n. sp.	aquilonius					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata	Chamopsiidae		Peneteius		aquilonius					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata	Globauridae	n. gen.	Contogenys	n. sp.	sloani					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata			Paraderma		bogerti					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata	Chamopsiidae		Meniscognathus		altmani					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata	Chamopsiidae		Chamops		segnis					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata	Xenosauridae		Exostinus		lancensis					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata			Colpodontosaurus		cracens					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata	Chamopsiidae		Leptochamops		denticulatus					4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13142	E. Fara	CC BY	Reptilia	Squamata	Anguidae		Odaxosaurus		piger		Pancelosaurus		piger	4377	47.8	-106.1	54.52	-78.4	72.1	66	69.05
13296	J. Hunter		Reptilia	Squamata	Iguanidae		Aciprion	n. sp.	majus					4415	40.9	-104.866667	42.16	-96.95	33.9	33.3	33.6
13322	J. Hunter		Reptilia	Squamata	Anguidae		Placosaurus		waltheri					11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13322	J. Hunter		Reptilia	Squamata			Eolacerta	n. sp.	robusta					11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13322	J. Hunter		Reptilia	Squamata	Anguidae		Xestops	n. sp.	weigelti					11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13322	J. Hunter		Reptilia	Squamata	Anguidae		Ophisauriscus	n. sp.	hallensis		Ophisaurus	n. sp.	hallensis	11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13322	J. Hunter		Reptilia	Squamata	Anguidae		Glyptosaurus		sp.					11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13322	J. Hunter		Reptilia	Squamata	Iguanidae		Geiseltaliellus		longicaudatus		Geiseltaliellus	n. sp.	longicaudus	11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13322	J. Hunter		Reptilia	Squamata	Anguidae		Ophisaurus	n. sp.	gracilis					11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13322	J. Hunter		Reptilia	Squamata	Necrosauridae		Necrosaurus	n. sp.	giganteus					11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13322	J. Hunter		Reptilia	Squamata	Anguidae	?	Ophisaurus		voigti					11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13322	J. Hunter		Reptilia	Squamata	Anguidae		Ophisauriscus	n. sp.	quadrupes					11714	51.321944	11.953611	48.34	7.71	47.8	41.3	44.55
13366	M. Carrano	CC BY	Reptilia	Squamata	Mosasauridae		Globidens		sp.					31056	32.016667	36.033333	16.19	29.9	72.1	66	69.05
13366	M. Carrano	CC BY	Reptilia	Squamata	Mosasauridae		Platecarpus		ptychodon					31056	32.016667	36.033333	16.19	29.9	72.1	66	69.05
13366	M. Carrano	CC BY	Reptilia	Squamata	Mosasauridae		Prognathodon		giganteus					31056	32.016667	36.033333	16.19	29.9	72.1	66	69.05
13366	M. Carrano	CC BY	Reptilia	Squamata	Mosasauridae		Halisaurus		sp.					31056	32.016667	36.033333	16.19	29.9	72.1	66	69.05
13682	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Dracaena		colombiana		Paradracaena		colombiana	6139	3.25	-75.15	2.48	-71.97	16.3	15.5	15.9
13684	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Dracaena		colombiana		Paradracaena		colombiana	6139	3.316667	-75.166667	2.55	-71.99	16.3	15.5	15.9
13687	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Dracaena		colombiana		Paradracaena		colombiana	6139	3.3	-75.15	2.53	-71.97	16.3	15.5	15.9
13739	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Dracaena		colombiana		Paradracaena		colombiana	6139	3.3	-75.133333	2.53	-71.95	16.3	15.5	15.9
